1	Red Barn Robotics	Industrials · Agriculture		Autonomous intra-row weeding robots for farms	面向农田的自主行内除草机器人
2	Mentra	Consumer · Electronics		Open-source smart glasses with AI tools	带 AI 工具的开源智能眼镜
3	BlindPay	Fintech · Payments		Stablecoin API for global payments	面向全球支付的稳定币 API
4	Vantel	Fintech · Insurance		AI coverage intelligence for brokers	面向保险经纪的 AI 承保情报
5	Fira	B2B · Finance		AI analyst for finance research	面向金融研究的 AI 分析师
6	assistant-ui	B2B · Dev Tools		React chat UI for AI apps	面向 AI 应用的 React 聊天界面
7	Artifact	B2B · Engineering		Collaborative ECAD for hardware teams	面向硬件团队的协作式 ECAD
8	Axal	B2B		AI workers for distributors and manufacturers	面向经销商与制造商的 AI 数字员工
9	Dexterity (Dex)	B2B · Productivity		AI workspace with operational memory	带运营记忆的 AI 工作空间
10	Sammy Labs	B2B · Legal		Deterministic legal and compliance AI	确定性的法律与合规 AI
11	Instinct	Industrials · Space		Lunar lander with 20 kg payload	20 公斤载荷的月球着陆器
12	Mercura	B2B · Sales		AI quote and order automation for distributors	面向经销商的 AI 报价与订单自动化
13	emojis.com	Consumer		AI-powered emoji generation for messaging	面向即时通讯的 AI 表情生成
14	Cedar	B2B · Dev Tools		Open-source framework for AI-native applications	面向 AI 原生应用的开源框架
15	Browser Use	B2B · Infrastructure		AI browser automation for any website	面向任意网站的 AI 浏览器自动化
16	TamLabs	B2B		Agent teams for professional work	面向专业工作的智能体团队
17	Ergo	B2B · Sales		AI revenue ops for autonomous CRMs	面向自主 CRM 的 AI 营收运营
18	CopyCat	B2B · Insurance		AI agents for insurance brokerage ops	面向保险经纪运营的 AI 智能体
19	Paratus Health	Healthcare · Voice		AI voice agents for healthcare phone lines	面向医疗电话线的 AI 语音智能体
20	Pig	B2B · Infrastructure		API for automating Windows applications	面向 Windows 应用自动化的 API
21	Bluebook	B2B · Finance		AI agents for accounting close	面向会计结账的 AI 智能体
22	TensorPool	B2B · Infrastructure		GPU infrastructure for foundation model training	面向基础模型训练的 GPU 基础设施
23	Dalus	B2B · Engineering		AI systems engineering for hardware teams	面向硬件团队的 AI 系统工程
24	Roark	B2B · Voice		Voice AI testing and monitoring platform	语音 AI 的测试与监控平台
25	Rebolt	B2B		AI software factory for operations	面向运营的 AI 软件工厂
26	Spott	B2B · Recruiting		AI-native ATS and CRM for recruiters	面向招聘的 AI 原生 ATS 与 CRM
27	Woz	B2B · Dev Tools		Claude Code plugin for cheaper coding	让编码更省钱的 Claude Code 插件
28	Proception	Industrials · Robotics		Dexterous humanoid hands for robotics	面向机器人的灵巧人形机械手
29	Demeter	Consumer		Single-note scents for every occasion	适配各种场合的单一调香水
30	Wildcard	B2B · Marketing		AI SEO for ecommerce brands	面向电商品牌的 AI SEO/GEO
31	Permitify	Real Estate & Construction		AI-assisted site analysis for land development	面向土地开发的 AI 选址分析
32	Reditus Space	Industrials · Space		Reusable satellite launch and return services	可复用的卫星发射与返回服务
33	Optifye	B2B · Manufacturing		AI cameras for factory line efficiency	面向产线效率的 AI 摄像头
34	Pinch	B2B · Voice		Real-time speech translation and AI dubbing	实时语音翻译与 AI 配音
35	Retrofit	Consumer		Vintage personal shopper with AI curation	带 AI 甄选的古着私人买手
36	Archon	Government		FedRAMP and StateRAMP compliance automation	FedRAMP/StateRAMP 合规自动化
37	Forge Automation	Industrials · Manufacturing		Software-enabled factories for custom metal parts	面向定制金属件的软件化工厂
38	Mastra	B2B · Dev Tools		TypeScript AI agent framework	TypeScript 的 AI 智能体框架
39	AfterQuery	B2B · AI		Applied research lab for frontier AI data	面向前沿 AI 数据的应用研究实验室
40	Fuse AI	B2B · Sales		Agentic AI outbound sales platform	智能体式外呼销售平台
41	Miyagi Labs	Education		AI exam prep tutor with practice analytics	带练习分析的 AI 备考家教
42	Artificial Societies	B2B · Research		AI personas for audience simulation	面向受众仿真的 AI 人设
43	TripleZip	B2B · Legal		Legal intake voice AI	面向法律接案的语音 AI
44	Peppr	B2B · Sales		Real-time AI copilot for sales calls	面向销售通话的实时 AI 副驾
45	Infinite	Fintech · Payments		Stablecoin payments for global businesses	面向全球企业的稳定币支付
46	Sennu AI	B2B		Claude enterprise rollout and integration	面向企业的 Claude 落地与集成
47	Orbital Operations	Industrials · Space		Space mobility for satellite defense missions	面向卫星防御任务的空间机动
48	Mesh	B2B · Finance		Accrual automation for accounting teams	面向会计团队的权责发生制自动化
49	Outlit	B2B · Infrastructure		Customer context layer for AI agents	面向 AI 智能体的客户上下文层
50	Tire Swing	Real Estate		AI compliance for affordable housing certifications	面向保障房资质认证的 AI 合规
51	Harper	Fintech · Insurance		AI-assisted commercial insurance brokerage	AI 辅助的商业保险经纪
52	Calltree AI	B2B		AI support team for customer service	面向客服的 AI 支持团队
53	Nitrode	B2B · AI		Spatial reasoning data for AI agents	面向 AI 智能体的空间推理数据
54	Karsa	Fintech		Global dollar accounts for emerging markets	面向新兴市场的全球美元账户
55	Exla Resources	B2B · Infrastructure		24/7 AI SRE agent for incidents	面向故障处理的 7×24 AI SRE 智能体
56	Riviera	B2B · Voice		AI voice agents for hotels	面向酒店的 AI 语音智能体
57	Waypoint Transit	Government		AI city-planning tools for municipalities	面向市政的 AI 城市规划工具
58	Agentin AI	B2B · Finance		AI agents for enterprise cash workflows	面向企业资金流程的 AI 智能体
59	ReJot	B2B · Dev Tools		Open-source builder of software tools	开源的软件工具搭建器
60	General Trajectory	Industrials · Robotics		AI for physical-world dexterous robotics	面向物理世界灵巧机器人的 AI
61	SolidRoad	B2B · Operations		Automated QA and training for CX agents	面向客服坐席的自动化质检与培训
62	Trata	Fintech		Anonymous hedge fund debate library	匿名的对冲基金辩论库
63	Lucidic AI	B2B · AI		Training layer for reliable AI agents	面向可靠 AI 智能体的训练层
64	Mundo AI	B2B · Infrastructure		Multimodal data infrastructure for perceptual intelligence	面向感知智能的多模态数据基础设施
65	G LNK	Healthcare		Healthcare commercial intelligence for life sciences	面向生命科学的医疗商业情报
66	Strike	B2B · Security		Ethical hacking with more critical vulns found	更高发现率的道德黑客渗透测试
67	AthenaHQ	B2B · Marketing		AEO and GEO command center	AEO/GEO 指挥中心
68	Lopus AI	B2B · Sales		Operations data platform for RevOps teams	面向 RevOps 团队的运营数据平台
69	Cenote	Healthcare · Sales		HIPAA-compliant AI sales agents	符合 HIPAA 的 AI 销售智能体
70	Harbera	Healthcare		AI credentialing for healthcare teams	面向医疗团队的 AI 资质认证
71	Augento	B2B · AI		Reinforcement learning fine-tuning for LLMs	面向 LLM 的强化学习微调
72	Bindwell	Industrials · Agriculture		AI pesticide discovery for safer crop protection	面向更安全作物保护的 AI 农药发现
73	Pickle	Consumer		AI powered by an evolving Taste Model	由进化口味模型驱动的 AI
74	Lucid	B2B · AI		Neural world model for playable Minecraft	可玩 Minecraft 的神经世界模型
75	Macadamia	B2B · Engineering		AI agents for industrial engineering	面向工业工程的 AI 智能体
76	Asteroid	B2B · Infrastructure		AI browser agents for enterprise automation	面向企业自动化的 AI 浏览器智能体
77	Gale	B2B · Legal		U.S. immigration platform for startups and employers	面向初创与雇主的美国移民平台
78	Pave Robotics	Industrials · Robotics		Autonomous robots for asphalt crack sealing	面向沥青裂缝灌封的自主机器人
79	PAX Markets	Fintech		Zero-fee crypto exchange with λ API	零手续费、带 λ API 的加密交易所
80	Olive	Consumer		AI-curated daily stories app	AI 甄选的每日故事应用
81	HUD	B2B · AI		RL environments for training AI agents	面向 AI 智能体训练的强化学习环境
82	finbar	Fintech		AI financial analyst for investors	面向投资者的 AI 金融分析师
83	Cuckoo Labs	B2B · Voice		AI real-time translator for global teams	面向全球团队的 AI 实时翻译
84	Mecha Health	Healthcare		AI radiology reports from scan data	基于影像数据的 AI 放射报告
85	GradeWiz	Education		AI teaching assistant for grading student work	面向批改作业的 AI 助教
86	HealthKey	Healthcare		AI patient matching for clinical trials	面向临床试验的 AI 患者匹配
87	Operand	Fintech · Asset Mgmt		Private-markets intelligence for private equity	面向私募的私募市场情报
88	Osmosis	B2B · Dev Tools		Toolkit for automating workflows with JavaScript	用 JavaScript 自动化工作流的工具包
89	Mosaic	B2B · Content		Agentic AI video editing canvas	智能体式 AI 视频剪辑画布
90	Oki	Consumer · Electronics		Private local AI computer for personal data	面向个人数据的本地隐私 AI 电脑
91	ZeroEntropy	B2B · Infrastructure		Specialized AI rerankers and embeddings	专用的 AI 重排序器与向量嵌入
92	Cardamon	B2B · Compliance		Auditable AI for regulatory compliance	面向监管合规的可审计 AI
93	Amby Health	Consumer · Health		Recovery-aware training coach for runners	面向跑者、感知恢复的训练教练
94	Nucleus (Extruct 误配)	Fintech · Lending		[Extruct 配到 Nucleus Software:数字放贷与交易银行平台,可能与实际 YC 公司不符]	[此条 Extruct 富集疑似错配,待核实]
95	Tergle	B2B · Finance		AI auditors for audits	面向审计的 AI 审计师
96	Rally	Fintech · Payments		Fleet cards and EV charging	车队卡与电动车充电
97	Adam	B2B · Engineering		AI CAD agent for mechanical engineers	面向机械工程师的 AI CAD 智能体
98	Inversion Semiconductor	Industrials · Semiconductors		Particle accelerator lithography for semiconductors	面向半导体的粒子加速器光刻
99	careCycle	Healthcare · Voice		Medicare voice AI for agencies	面向代理机构的 Medicare 语音 AI
100	SalesPatriot	B2B · Sales		Operational AI for distributors and OEMs	面向经销商与 OEM 的运营 AI
