1	Akkari	B2B		Autonomous customer operations	自主化客户运营
2	HeyClicky	Consumer		An AI buddy that lives on your Mac	住在你 Mac 里的 AI 伙伴
3	Huscarl Inc.	Fintech	Insurance	Actuarial intelligence for corporate risk managers	面向企业风控经理的精算智能
4	Thomas	B2B		The first AI founder: a virtual human who runs his own companies	首位 AI 创始人：自己经营公司的虚拟人
5	Cohesion	B2B	Finance	Your public equities agentic teammate	你的二级市场股票智能体队友
6	Maquoketa Research	Industrials	Defense	The intelligence layer for drones	无人机的智能层
7	Intelligence Factory	Industrials	Robotics	Human intelligence for robots	为机器人注入人类智能
8	Clawvisor	B2B	Security	The authorization layer for AI agents	AI 智能体的授权层
9	Framewise Health	Healthcare		AI-native patient engagement	AI 原生的患者互动
10	Arctic Health	Healthcare	Services	AI-native credentialing and contracting for healthcare	医疗领域 AI 原生的资质认证与签约
11	Playabl.ai	Consumer	Gaming	TikTok for user-generated games	用户生成游戏版的 TikTok
12	Enjamb Labs	B2B		Full-stack AI agents accelerating biopharma R&D	加速生物制药研发的全栈 AI 智能体
13	Hyper	B2B	Productivity	The self-driving company brain	自动驾驶式的公司大脑
14	InsForge	B2B	Engineering	The agent-native cloud infrastructure platform	智能体原生的云基础设施平台
15	ReasonBlocks	B2B		The runtime layer that makes AI agents cheaper and more reliable	让 AI 智能体更便宜更可靠的运行时层
16	Modern	B2B	Operations	AI-native ServiceNow run by always-on AI agents	由常驻 AI 智能体运行的 AI 原生版 ServiceNow
17	Panacea	Healthcare	Services	AI-native FDA regulatory services	AI 原生的 FDA 合规监管服务
18	CentralComs	Real Estate & Construction		AI agents for property management	物业管理 AI 智能体
19	KugelAudio	B2B	Infrastructure	On-prem enterprise TTS supporting 25+ languages	支持 25+ 语种的本地部署企业级 TTS
20	Klaimee	Fintech	Insurance	Liability insurance for AI agents	面向 AI 智能体的责任险
21	flowscope	B2B		AI-native consulting to map and automate business processes	梳理并自动化业务流程的 AI 原生咨询
22	Gigacatalyst	B2B	Engineering	Customize your software to every user with AI	用 AI 为每个用户定制软件
23	Arlo Industries	Industrials	Defense	Passive aerial sensing mesh to track drones and missiles	追踪无人机与导弹的被动式空中感知网
24	Astraea	B2B		Agents that accelerate clinical trials	加速临床试验的智能体
25	Lattice Health	Healthcare		Monitoring and governance for deployed medical imaging AI	已部署医学影像 AI 的监控与治理
26	Manicule	B2B	Marketing	AI-native developer relations	AI 原生的开发者关系（DevRel）
27	Avea Robotics	Industrials	Robotics	Teleoperate your robots from anywhere in the world	在全球任意位置远程操控你的机器人
28	Mochatrade	Fintech	Consumer	US stock perps for Indian traders	面向印度交易者的美股永续合约
29	Asendia AI	B2B		AI recruiters for staffing agencies	面向人力中介的 AI 招聘官
30	Revnu	B2B	Marketing	The AI that replaces your growth team	替代你增长团队的 AI
31	Uno Wallet	Fintech	Payments	The AI wallet that picks the best card at checkout	结账时自动挑最优信用卡的 AI 钱包
32	Arden	B2B	Finance	AI agents that automate SOX control testing	自动化 SOX 内控测试的 AI 智能体
33	AgentPhone	B2B	Infrastructure	Phone numbers for AI agents	给 AI 智能体配电话号码
34	Gravy	Fintech	Consumer Finance	AI agent for your personal finances	管理你个人财务的 AI 智能体
35	Kinect	B2B		Brand layer for AI-native commerce	AI 原生电商的品牌层
36	Runtime	B2B	Engineering	Sandboxed coding agents for everyone on your team	给团队每个人的沙箱化编码智能体
37	YouArt	Consumer	Content	Patreon for AI originals	AI 原创内容版的 Patreon
38	Expanse	B2B	Infrastructure	Unlock wasted GPU capacity	释放被浪费的 GPU 算力
39	CharacterQuilt	B2B	Marketing	AI infrastructure for marketers, shipping campaigns in your tools	面向营销人的 AI 基础设施，在你的工具里发活动
40	Pentagon	B2B	Productivity	A coordination layer for humans and agents	人与智能体的协同层
41	Arzana	B2B	Operations	AI automation for the manufacturing office	制造业办公室的 AI 自动化
42	Auxos	B2B		Simulations of real people for market research	用于市场调研的真人仿真
43	ProjectX	B2B	Infrastructure	Infinity: the first OS where humans and agents work with no limits	Infinity：首个人与智能体无限协作的操作系统
44	OpenWork	B2B	Productivity	The open-source alternative to Claude Cowork	Claude Cowork 的开源替代品
45	Apollo Atomics, Inc.	Industrials	Energy	The most compact nuclear machines	最紧凑的核能机器
46	General Aviation	Industrials	Aviation & Space	Fix ATC by connecting aircraft to the internet	让飞机联网以修复空管系统
47	OpenProse	B2B	Engineering	Open-source infrastructure for reliable long-running agents	可靠长时运行智能体的开源基础设施
48	Aster	B2B	Productivity	The first AI-native AI research lab	首个 AI 原生的 AI 研究实验室
49	Amboras	B2B		Let AI sell your stuff on autopilot	让 AI 自动帮你卖货
50	Hessian	B2B		Forward-deployed AI agents	前置部署的 AI 智能体
51	RASPIRE	B2B	Security	App security at AI speed	以 AI 速度做应用安全
52	Plena Health	Healthcare	Services	The AI operating system for specialty medical practices	专科诊所的 AI 操作系统
53	TesterArmy	B2B	Engineering	Test your app with AI, catch bugs before users do	用 AI 测应用，在用户之前抓出 bug
54	Eden Robotics	Industrials	Robotics	Autonomous services for humanity	为人类提供自主化服务
55	Foaster	B2B		The AI-native consulting firm for AI transformation	专做 AI 转型的 AI 原生咨询公司
56	AquaShield	Real Estate & Construction		AI water leak detection for buildings	楼宇 AI 漏水检测
57	Ornadyne	Industrials	Drones	Robot birds for surveillance	用于监视的仿生机器鸟
58	ANORIA	Consumer	Electronics	A wearable that reads your emotions to enhance your EQ	读取情绪、提升你情商的可穿戴设备
59	AbInitio Bio	Healthcare	Drug Discovery	The intelligence layer for drug manufacturing	药品制造的智能层
60	Memory Store	B2B	Productivity	Shared context for all of your team's agents	为团队所有智能体提供共享上下文
